"Year"	"USFWBand"	"JayID"	"NatalNest"	"TerrYr.x"	"Terr"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"dadband"	"NestYear.x"	"TerrYr.y"	"dadid"	"dadexp"	"dadage"	"momband"	"NestYear.y"	"TerrYr"	"momid"	"momexp"	"momage"	"CountofJayID"	"NumTerr"	"Den"
"1"	"1981"	"1383-27254"	"WAS-"	"CACT811"	"CACT81"	"CACT"	1981-04-30	4153	4335	49.2	1981-05-11	3	3	182	0.5	1	11	1	1	"1383-27194"	"1981"	"CACT81"	"A-SO"	0	2	"1383-27152"	"1981"	"CACT81"	"F-SL"	0	3	85	31	2.74193548387097
"2"	"1982"	"1423-42618"	"RS-F"	"SCOP821"	"SCOP82"	"SCOP"	1982-04-17	4506	7287	52.8	1982-04-28	3	3	2781	7.61	0	11	1	1	"1423-42820"	"1982"	"SCOP82"	"Y-PZ"	0	2	"793-09828"	"1982"	"SCOP82"	"SGG-"	1	5	95	30	3.16666666666667
"3"	"1982"	"1423-42613"	"OS-n"	"NNWS821"	"NNWS82"	"NNWS"	1982-04-17	4508	4514	39.2	1982-04-28	4	3	6	0.02	1	11	0	0	"1383-27288"	"1982"	"NNWS82"	"R-GZ"	0	2	"1383-27283"	"1982"	"NNWS82"	"W-LZ"	0	2	95	30	3.16666666666667
"4"	"1982"	"1423-42617"	"WS-F"	"SCOP821"	"SCOP82"	"SCOP"	1982-04-17	4506	6983	54.2	1982-04-28	3	3	2477	6.78	0	11	1	1	"1423-42820"	"1982"	"SCOP82"	"Y-PZ"	0	2	"793-09828"	"1982"	"SCOP82"	"SGG-"	1	5	95	30	3.16666666666667
"5"	"1982"	"1423-42619"	"GS-F"	"SCOP821"	"SCOP82"	"SCOP"	1982-04-17	4506	5916	50.2	1982-04-28	3	3	1410	3.86	0	11	1	1	"1423-42820"	"1982"	"SCOP82"	"Y-PZ"	0	2	"793-09828"	"1982"	"SCOP82"	"SGG-"	1	5	95	30	3.16666666666667
"6"	"1982"	"1423-42612"	"PS-A"	"NNWS821"	"NNWS82"	"NNWS"	1982-04-17	4508	5404	36.1	1982-04-28	4	3	896	2.45	0	11	0	0	"1383-27288"	"1982"	"NNWS82"	"R-GZ"	0	2	"1383-27283"	"1982"	"NNWS82"	"W-LZ"	0	2	95	30	3.16666666666667
"7"	"1982"	"1423-42611"	"BS-A"	"NNWS821"	"NNWS82"	"NNWS"	1982-04-17	4508	4672	43.8	1982-04-28	4	3	164	0.45	1	11	0	0	"1383-27288"	"1982"	"NNWS82"	"R-GZ"	0	2	"1383-27283"	"1982"	"NNWS82"	"W-LZ"	0	2	95	30	3.16666666666667
"8"	"1983"	"1423-42707"	"S-FL"	"SCOP831"	"SCOP83"	"SCOP"	1983-04-18	4873	5674	45.7	1983-04-29	4	4	801	2.19	0	11	1	4	"1423-42820"	"1983"	"SCOP83"	"Y-PZ"	1	3	"793-09828"	"1983"	"SCOP83"	"SGG-"	2	6	113	35	3.22857142857143
"9"	"1983"	"1423-42675"	"S-RO"	"YTRE831"	"YTRE83"	"YTRE"	1983-04-04	4859	5275	39.1	1983-04-17	4	2	416	1.14	0	13	0	0	"1383-27278"	"1983"	"YTRE83"	"W-YZ"	1	4	"1383-27277"	"1983"	"YTRE83"	"W-GZ"	1	3	113	35	3.22857142857143
"10"	"1983"	"1423-42676"	"S-Gn"	"YTRE831"	"YTRE83"	"YTRE"	1983-04-04	4859	4867	34.5	1983-04-17	4	2	8	0.02	1	13	0	0	"1383-27278"	"1983"	"YTRE83"	"W-YZ"	1	4	"1383-27277"	"1983"	"YTRE83"	"W-GZ"	1	3	113	35	3.22857142857143
