"USFWBand"	"JayID"	"NatalNest"	"TerrYr"	"Terr"	"Year"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"SexIND"	"FBreeder"	"FUSFWBand"	"MBreeder"	"MUSFWBand"	"famid"
"1"	"1013-63301"	"AZ-W"	"SORA921"	"SORA92"	"SORA"	"1992"	1992-04-26	8168	8471	51.2	1992-05-07	1	1	303	0.83	1	11	0	0	1	"G-PZ"	"1423-42684"	"RSL-"	"1433-87426"	1
"2"	"1013-63302"	"OZ-n"	"LOCK921"	"LOCK92"	"LOCK"	"1992"	1992-04-27	8171	8201	51.7	1992-05-08	3	3	30	0.08	1	11	1	1	3	"P-OC"	"1053-14439"	"WSL-"	"1433-87424"	1
"3"	"1013-63304"	"FZ-W"	"LOCK921"	"LOCK92"	"LOCK"	"1992"	1992-04-27	8171	8536	47	1992-05-08	3	3	365	1	1	11	1	1	3	"P-OC"	"1053-14439"	"WSL-"	"1433-87424"	1
"4"	"1013-63308"	"WZ-n"	"XRDS921"	"XRDS92"	"XRDS"	"1992"	1992-04-30	8171	8232	43.1	1992-05-11	2	2	61	0.17	1	11	1	1	3	"G-YC"	"1053-56723"	"-SAY"	"1323-63736"	1
"5"	"1013-63309"	"RZ-n"	"XRDS921"	"XRDS92"	"XRDS"	"1992"	1992-04-30	8171	8174	44.8	1992-05-11	2	2	3	0.01	1	11	1	1	3	"G-YC"	"1053-56723"	"-SAY"	"1323-63736"	1
"6"	"1013-63312"	"BZ-W"	"NNWX921"	"NNWX92"	"NNWX"	"1992"	1992-05-01	8175	11274	43.9	1992-05-12	3	3	3099	8.48	0	11	1	1	2	"F-OC"	"1453-38942"	"-APZ"	"1053-56787"	1
"7"	"1013-63313"	"PZ-W"	"WWSX921"	"WWSX92"	"WWSX"	"1992"	1992-05-01	8173	10240	45.3	1992-05-12	2	1	2067	5.66	0	11	0	0	2	"-SPP"	"1043-80187"	"-SOF"	"1043-80142"	1
"8"	"1013-63329"	"PZ-R"	"SCOP921"	"SCOP92"	"SCOP"	"1992"	1992-05-06	8174	8813	56	1992-05-17	3	3	639	1.75	0	11	1	2	2	"BSA-"	"1433-87437"	"-RSA"	"1433-58370"	1
"9"	"1013-63330"	"OZ-R"	"SCOP921"	"SCOP92"	"SCOP"	"1992"	1992-05-06	8174	8504	56.8	1992-05-17	3	3	330	0.9	1	11	1	2	1	"BSA-"	"1433-87437"	"-RSA"	"1433-58370"	1
"10"	"1013-63332"	"YZ-n"	"LINX921"	"LINX92"	"LINX"	"1992"	1992-05-07	8181	8201	47.3	1992-05-18	2	2	20	0.05	1	11	1	2	3	"F-FC"	"1453-39028"	"B-OC"	"1053-56724"	2
"11"	"1013-63333"	"BZ-G"	"LINX921"	"LINX92"	"LINX"	"1992"	1992-05-07	8181	8260	44.3	1992-05-18	2	2	79	0.22	1	11	1	2	3	"F-FC"	"1453-39028"	"B-OC"	"1053-56724"	2
"12"	"1013-63367"	"FZ-R"	"WCOP921"	"WCOP92"	"WCOP"	"1992"	1992-05-14	8186	8869	45.8	1992-05-25	2	2	683	1.87	0	11	1	3	2	"Y-AC"	"1043-80124"	"-SRL"	"1043-80151"	1
"13"	"1013-63368"	"AZ-R"	"WCOP921"	"WCOP92"	"WCOP"	"1992"	1992-05-14	8186	9173	46.3	1992-05-25	2	2	987	2.7	0	11	1	3	2	"Y-AC"	"1043-80124"	"-SRL"	"1043-80151"	1
"14"	"1013-63369"	"OZ-W"	"SIXS921"	"SIXS92"	"SIXS"	"1992"	1992-05-15	8184	10330	53.2	1992-05-26	3	3	2146	5.88	0	11	0	0	1	"O-YC"	"1053-14473"	"RSA-"	"1453-39196"	1
"15"	"1013-63370"	"LZ-n"	"SIXS921"	"SIXS92"	"SIXS"	"1992"	1992-05-15	8184	8185	52	1992-05-26	3	3	1	0	1	11	0	0	3	"O-YC"	"1053-14473"	"RSA-"	"1453-39196"	1
"16"	"1013-63371"	"FZ-n"	"SIXS921"	"SIXS92"	"SIXS"	"1992"	1992-05-15	8184	8185	53	1992-05-26	3	3	1	0	1	11	0	0	3	"O-YC"	"1053-14473"	"RSA-"	"1453-39196"	1
"17"	"1043-44202"	"SP-L"	"FARS843"	"FARS84"	"FARS"	"1984"	1984-04-21	5241	5699	47.1	1984-05-02	2	2	458	1.25	0	11	1	3	2	"A-SB"	"1383-27190"	"Y-BZ"	"1423-42819"	3
"18"	"1043-44211"	"ZWW-"	"PLAZ971"	"PLAZ97"	"PLAZ"	"1997"	1997-03-29	9968	10180	44.3	1997-04-09	4	3	212	0.58	1	11	1	2	3	"Z-RL"	"1453-63519"	"Z-OG"	"1453-63524"	1
"19"	"1043-44212"	"ZRW-"	"PLAZ971"	"PLAZ97"	"PLAZ"	"1997"	1997-03-29	9968	10240	46.8	1997-04-09	4	3	272	0.74	1	11	1	2	3	"Z-RL"	"1453-63519"	"Z-OG"	"1453-63524"	1
"20"	"1043-44213"	"ZGn-"	"PLAZ971"	"PLAZ97"	"PLAZ"	"1997"	1997-03-29	9968	9979	32.7	1997-04-09	4	3	11	0.03	1	11	1	2	3	"Z-RL"	"1453-63519"	"Z-OG"	"1453-63524"	1
"21"	"1043-44214"	"ZYW-"	"NMIT971"	"NMIT97"	"NMIT"	"1997"	1997-03-29	9969	10117	47	1997-04-09	2	2	148	0.41	1	11	1	2	3	"LZB-"	"1453-78233"	"Z-GP"	"1453-63559"	1
"22"	"1043-44215"	"ZBW-"	"NMIT971"	"NMIT97"	"NMIT"	"1997"	1997-03-29	9969	14071	49.9	1997-04-09	2	2	4102	11.23	0	11	1	2	1	"LZB-"	"1453-78233"	"Z-GP"	"1453-63559"	1
"23"	"1043-44218"	"ZLn-"	"NO19971"	"NO1997"	"NO19"	"1997"	1997-03-31	9969	9988	46.7	1997-04-11	2	2	19	0.05	1	11	1	1	3	"ZW-F"	"1453-78179"	"A-LC"	"1433-58323"	1
"24"	"1043-44219"	"ZFW-"	"NO19971"	"NO1997"	"NO19"	"1997"	1997-03-31	9969	10052	38.8	1997-04-11	2	2	83	0.23	1	11	1	1	3	"ZW-F"	"1453-78179"	"A-LC"	"1433-58323"	1
"25"	"1043-44220"	"ZWR-"	"SFLA971"	"SFLA97"	"SFLA"	"1997"	1997-04-01	9970	12153	51	1997-04-12	3	3	2183	5.98	0	11	0	0	2	"-YSL"	"1433-92986"	"L-GC"	"1053-56664"	1
"26"	"1043-44221"	"ZRn-"	"SFLA971"	"SFLA97"	"SFLA"	"1997"	1997-04-01	9970	10009	49.7	1997-04-12	3	3	39	0.11	1	11	0	0	3	"-YSL"	"1433-92986"	"L-GC"	"1053-56664"	1
"27"	"1043-44222"	"ZGR-"	"SFLA971"	"SFLA97"	"SFLA"	"1997"	1997-04-01	9970	11487	47.6	1997-04-12	3	3	1517	4.15	0	11	0	0	1	"-YSL"	"1433-92986"	"L-GC"	"1053-56664"	1
"28"	"1043-44223"	"ZAn-"	"WCUL971"	"WCUL97"	"WCUL"	"1997"	1997-04-02	9969	9976	44.3	1997-04-13	1	1	7	0.02	1	11	0	0	3	"ZL-L"	"1453-78141"	"OZG-"	"1453-78120"	1
"29"	"1043-44224"	"ZYR-"	"BNCH971"	"BNCH97"	"BNCH"	"1997"	1997-04-02	9972	10208	39	1997-04-13	4	4	236	0.65	1	11	1	2	3	"R-BM"	"1433-58349"	"F-YQ"	"1043-44207"	1
"30"	"1043-44225"	"ZBn-"	"BNCH971"	"BNCH97"	"BNCH"	"1997"	1997-04-02	9972	9994	45.5	1997-04-13	4	4	22	0.06	1	11	1	2	3	"R-BM"	"1433-58349"	"F-YQ"	"1043-44207"	1
"31"	"1043-44226"	"ZPR-"	"BNCH971"	"BNCH97"	"BNCH"	"1997"	1997-04-02	9972	10275	44.7	1997-04-13	4	4	303	0.83	1	11	1	2	3	"R-BM"	"1433-58349"	"F-YQ"	"1043-44207"	1
"32"	"1043-44227"	"ZOR-"	"BNCH971"	"BNCH97"	"BNCH"	"1997"	1997-04-02	9972	10052	44	1997-04-13	4	4	80	0.22	1	11	1	2	3	"R-BM"	"1433-58349"	"F-YQ"	"1043-44207"	1
"33"	"1043-44228"	"ZWn-"	"CURY971"	"CURY97"	"CURY"	"1997"	1997-04-03	9972	9994	40.6	1997-04-14	4	4	22	0.06	1	11	0	0	3	"Y-YM"	"1453-57412"	"-GYZ"	"1053-56771"	1
"34"	"1043-44229"	"ZRR-"	"CURY971"	"CURY97"	"CURY"	"1997"	1997-04-03	9972	10117	45	1997-04-14	4	4	145	0.4	1	11	0	0	3	"Y-YM"	"1453-57412"	"-GYZ"	"1053-56771"	1
"35"	"1043-44233"	"ZFR-"	"BIGL971"	"BIGL97"	"BIGL"	"1997"	1997-04-03	9971	10145	49.3	1997-04-14	2	2	174	0.48	1	11	1	3	3	"ZB-LU"	"1453-78096"	"G-AM"	"1453-57408"	1
"36"	"1043-44235"	"ZBG-"	"MCBY971"	"MCBY97"	"MCBY"	"1997"	1997-04-03	9972	10275	48.7	1997-04-14	3	3	303	0.83	1	11	1	2	3	"Y-OM"	"1453-72705"	"-RRZ"	"1053-56785"	1
"37"	"1043-44237"	"ZOG-"	"MCBY971"	"MCBY97"	"MCBY"	"1997"	1997-04-03	9972	15574	40.5	1997-04-14	3	3	5602	15.34	0	11	1	2	1	"Y-OM"	"1453-72705"	"-RRZ"	"1053-56785"	1
"38"	"1043-44238"	"ZLn-"	"CACT971"	"CACT97"	"CACT"	"1997"	1997-04-04	9973	10012	53.3	1997-04-15	4	4	39	0.11	1	11	1	3	3	"A-RC"	"1453-39029"	"W-FM"	"1063-42890"	1
"39"	"1043-44239"	"ZFn-"	"CACT971"	"CACT97"	"CACT"	"1997"	1997-04-04	9973	10012	44.3	1997-04-15	4	4	39	0.11	1	11	1	3	3	"A-RC"	"1453-39029"	"W-FM"	"1063-42890"	1
"40"	"1043-44240"	"ZAn-"	"CACT971"	"CACT97"	"CACT"	"1997"	1997-04-04	9973	10012	49	1997-04-15	4	4	39	0.11	1	11	1	3	3	"A-RC"	"1453-39029"	"W-FM"	"1063-42890"	1
"41"	"1043-44241"	"ZWn-"	"CACT971"	"CACT97"	"CACT"	"1997"	1997-04-04	9973	10012	48	1997-04-15	4	4	39	0.11	1	11	1	3	3	"A-RC"	"1453-39029"	"W-FM"	"1063-42890"	1
"42"	"1043-44244"	"ZYY-"	"NWES971"	"NWES97"	"NWES"	"1997"	1997-04-05	9974	10052	42.9	1997-04-16	4	4	78	0.21	1	11	1	3	3	"ZO-YU"	"1453-72893"	"SAO-"	"1453-78352"	1
"43"	"1043-44245"	"ZBY-"	"NWES971"	"NWES97"	"NWES"	"1997"	1997-04-05	9974	10117	44.7	1997-04-16	4	4	143	0.39	1	11	1	3	3	"ZO-YU"	"1453-72893"	"SAO-"	"1453-78352"	1
"44"	"1043-44246"	"ZPn-"	"NWES971"	"NWES97"	"NWES"	"1997"	1997-04-05	9974	10008	38.7	1997-04-16	4	4	34	0.09	1	11	1	3	3	"ZO-YU"	"1453-72893"	"SAO-"	"1453-78352"	1
"45"	"1043-44247"	"ZOY-"	"NWES971"	"NWES97"	"NWES"	"1997"	1997-04-05	9974	10145	52	1997-04-16	4	4	171	0.47	1	11	1	3	2	"ZO-YU"	"1453-72893"	"SAO-"	"1453-78352"	1
"46"	"1043-44248"	"ZAW-"	"SFLS971"	"SFLS97"	"SFLS"	"1997"	1997-04-08	9978	11058	26.1	1997-04-19	3	2	1080	2.96	0	11	1	1	2	"L-OM"	"1453-78248"	"ZP-Y"	"1453-72784"	1
"47"	"1043-44249"	"ZFn-"	"SFLS971"	"SFLS97"	"SFLS"	"1997"	1997-04-08	9978	9994	35	1997-04-19	3	2	16	0.04	1	11	1	1	3	"L-OM"	"1453-78248"	"ZP-Y"	"1453-72784"	1
"48"	"1043-44252"	"ZRn-"	"PRAN971"	"PRAN97"	"PRAN"	"1997"	1997-04-08	9978	9995	30.1	1997-04-19	3	3	17	0.05	1	11	0	0	3	"L-AM"	"1453-78251"	"Z-AP"	"1453-63561"	4
"49"	"1043-44253"	"ZGW-"	"PRAN971"	"PRAN97"	"PRAN"	"1997"	1997-04-08	9978	11365	36.3	1997-04-19	3	3	1387	3.8	0	11	0	0	1	"L-AM"	"1453-78251"	"Z-AP"	"1453-63561"	4
"50"	"1043-44259"	"ZWG-"	"MRGO971"	"MRGO97"	"MRGO"	"1997"	1997-04-09	9980	10302	37.7	1997-04-20	3	3	322	0.88	1	11	1	2	3	"WOZ="	"1013-63346"	"Y-RM"	"1453-57411"	1
"51"	"1043-44260"	"ZRn-"	"MRGO971"	"MRGO97"	"MRGO"	"1997"	1997-04-09	9980	10045	34.3	1997-04-20	3	3	65	0.18	1	11	1	2	3	"WOZ="	"1013-63346"	"Y-RM"	"1453-57411"	1
"52"	"1043-44261"	"ZGn-"	"MRGO971"	"MRGO97"	"MRGO"	"1997"	1997-04-09	9980	10027	32.5	1997-04-20	3	3	47	0.13	1	11	1	2	3	"WOZ="	"1013-63346"	"Y-RM"	"1453-57411"	1
"53"	"1043-44262"	"ZFG-"	"NRID971"	"NRID97"	"NRID"	"1997"	1997-04-10	9979	10275	56.7	1997-04-21	2	2	296	0.81	1	11	1	3	3	"O-GM"	"1453-78142"	"Z-RR"	"1453-63510"	1
"54"	"1043-44263"	"ZAn-"	"NRID971"	"NRID97"	"NRID"	"1997"	1997-04-10	9979	10012	31	1997-04-21	2	2	33	0.09	1	11	1	3	3	"O-GM"	"1453-78142"	"Z-RR"	"1453-63510"	1
"55"	"1043-44264"	"ZYP-"	"RUSS971"	"RUSS97"	"RUSS"	"1997"	1997-04-10	9980	10180	52.3	1997-04-21	4	4	200	0.55	1	11	1	4	3	"FZB-"	"1453-78400"	"-OBZ"	"1453-38998"	1
"56"	"1043-44265"	"ZBP-"	"RUSS971"	"RUSS97"	"RUSS"	"1997"	1997-04-10	9980	10208	49.4	1997-04-21	4	4	228	0.62	1	11	1	4	3	"FZB-"	"1453-78400"	"-OBZ"	"1453-38998"	1
"57"	"1043-44266"	"ZPP-"	"RUSS971"	"RUSS97"	"RUSS"	"1997"	1997-04-10	9980	10240	43.3	1997-04-21	4	4	260	0.71	1	11	1	4	3	"FZB-"	"1453-78400"	"-OBZ"	"1453-38998"	1
"58"	"1043-44267"	"ZOn-"	"RUSS971"	"RUSS97"	"RUSS"	"1997"	1997-04-10	9980	9984	43	1997-04-21	4	4	4	0.01	1	11	1	4	3	"FZB-"	"1453-78400"	"-OBZ"	"1453-38998"	1
"59"	"1043-44268"	"ZLn-"	"ANNI971"	"ANNI97"	"ANNI"	"1997"	1997-04-10	9979	9984	46.8	1997-04-21	3	3	5	0.01	1	11	1	1	3	"ZP-L"	"1453-78106"	"ZL-G"	"1453-72725"	1
"60"	"1043-44269"	"ZFO-"	"ANNI971"	"ANNI97"	"ANNI"	"1997"	1997-04-10	9979	10695	46.4	1997-04-21	3	3	716	1.96	0	11	1	1	3	"ZP-L"	"1453-78106"	"ZL-G"	"1453-72725"	1
"61"	"1043-44270"	"ZAn-"	"ANNI971"	"ANNI97"	"ANNI"	"1997"	1997-04-10	9979	9994	40.6	1997-04-21	3	3	15	0.04	1	11	1	1	3	"ZP-L"	"1453-78106"	"ZL-G"	"1453-72725"	1
"62"	"1043-44271"	"ZWY-"	"NPOL971"	"NPOL97"	"NPOL"	"1997"	1997-04-11	9978	10117	52.3	1997-04-22	3	3	139	0.38	1	11	1	3	3	"Y-GM"	"1453-63579"	"G-OM"	"1453-57404"	1
"63"	"1043-44272"	"ZRY-"	"NPOL971"	"NPOL97"	"NPOL"	"1997"	1997-04-11	9978	10180	53	1997-04-22	3	3	202	0.55	1	11	1	3	3	"Y-GM"	"1453-63579"	"G-OM"	"1453-57404"	1
"64"	"1043-44273"	"ZGY-"	"NPOL971"	"NPOL97"	"NPOL"	"1997"	1997-04-11	9978	10145	48.6	1997-04-22	3	3	167	0.46	1	11	1	3	2	"Y-GM"	"1453-63579"	"G-OM"	"1453-57404"	1
"65"	"1043-44274"	"ZYn-"	"WCPR971"	"WCPR97"	"WCPR"	"1997"	1997-04-12	9982	9994	39.2	1997-04-23	3	3	12	0.03	1	11	1	1	3	"L-BM"	"1453-78235"	"-AWZ"	"1453-38937"	1
"66"	"1043-44275"	"ZBL-"	"WCPR971"	"WCPR97"	"WCPR"	"1997"	1997-04-12	9982	10043	34.7	1997-04-23	3	3	61	0.17	1	11	1	1	3	"L-BM"	"1453-78235"	"-AWZ"	"1453-38937"	1
