"TerrYr"	"USFWBand"	"JayID"	"NatalNest"	"TerrYr.x"	"Terr"	"Year"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"TerrYr.y"	"dadid"	"dadexp"	"momband"	"momexp"	"momage"	"scrb.count"	"tsf.count"	"stdscr"	"centscr"	"stdtsf"	"centtsf"	"stdsize"	"centsize"
"1"	"ANGB09"	"1713-13315"	"PA-Q"	"ANGB091"	"ANGB09"	"ANGB"	"2009"	2009-05-14	14398	16903	43.1	2009-05-25	2	1	2505	6.86	0	11	0	0	"ANGB09"	"CGP-"	0	"1603-16663"	0	3	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"ANGB10"	"1713-13911"	"-nOQ"	"ANGB102"	"ANGB10"	"ANGB"	"2010"	2010-05-28	14774	14775	30.8	2010-06-08	4	4	1	0	1	11	1	1	"ANGB10"	"CGP-"	1	"1603-16663"	1	4	2381	2130	0.689802197342887	-689.460436137072	0.506578628709875	-1123.26105919003	0.616570490248383	-1911.6691588785
"3"	"ANGB10"	"1713-13908"	"-BYQ"	"ANGB102"	"ANGB10"	"ANGB"	"2010"	2010-05-28	14774	15796	46.1	2010-06-08	4	4	1022	2.8	0	11	1	1	"ANGB10"	"CGP-"	1	"1603-16663"	1	4	2381	2130	0.689802197342887	-689.460436137072	0.506578628709875	-1123.26105919003	0.616570490248383	-1911.6691588785
"4"	"ANGB10"	"1713-13910"	"-nPQ"	"ANGB102"	"ANGB10"	"ANGB"	"2010"	2010-05-28	14774	14837	41.2	2010-06-08	4	4	63	0.17	1	11	1	1	"ANGB10"	"CGP-"	1	"1603-16663"	1	4	2381	2130	0.689802197342887	-689.460436137072	0.506578628709875	-1123.26105919003	0.616570490248383	-1911.6691588785
"5"	"ANGB10"	"1713-13909"	"-nBQ"	"ANGB102"	"ANGB10"	"ANGB"	"2010"	2010-05-28	14774	14782	41.2	2010-06-08	4	4	8	0.02	1	11	1	1	"ANGB10"	"CGP-"	1	"1603-16663"	1	4	2381	2130	0.689802197342887	-689.460436137072	0.506578628709875	-1123.26105919003	0.616570490248383	-1911.6691588785
"6"	"ANGB11"	"1713-49093"	"nAQ-"	"ANGB111"	"ANGB11"	"ANGB"	"2011"	2011-04-10	15094	15105	37.9	2011-04-21	3	3	11	0.03	1	11	1	2	"ANGB11"	"CGP-"	2	"1603-16663"	2	5	3462	0	1.0029799274259	391.539563862928	0	-3253.26105919003	0.942539102224875	171.330841121496
"7"	"ANGB11"	"1713-49091"	"YLQ-"	"ANGB111"	"ANGB11"	"ANGB"	"2011"	2011-04-10	15094	15231	46.6	2011-04-21	3	3	137	0.38	1	11	1	2	"ANGB11"	"CGP-"	2	"1603-16663"	2	5	3462	0	1.0029799274259	391.539563862928	0	-3253.26105919003	0.942539102224875	171.330841121496
"8"	"ANGB11"	"1713-49092"	"nHQ-"	"ANGB111"	"ANGB11"	"ANGB"	"2011"	2011-04-10	15094	15105	46	2011-04-21	3	3	11	0.03	1	11	1	2	"ANGB11"	"CGP-"	2	"1603-16663"	2	5	3462	0	1.0029799274259	391.539563862928	0	-3253.26105919003	0.942539102224875	171.330841121496
"9"	"ANGB13"	"1713-49770"	"Q-GO"	"ANGB131"	"ANGB13"	"ANGB"	"2013"	2013-04-15	15828	16505	32.4	2013-04-26	4	4	677	1.85	0	11	0	0	"ANGB13"	"PA-Q"	0	"1713-13676"	0	3	2570	0	0.744557600659899	-500.460436137072	0	-3253.26105919003	0.834561021445336	-518.669158878504
"10"	"ANGB13"	"1713-49768"	"Q-GB"	"ANGB131"	"ANGB13"	"ANGB"	"2013"	2013-04-15	15828	15929	45	2013-04-26	4	4	101	0.28	1	11	0	0	"ANGB13"	"PA-Q"	0	"1713-13676"	0	3	2570	0	0.744557600659899	-500.460436137072	0	-3253.26105919003	0.834561021445336	-518.669158878504
"11"	"ANGB13"	"1713-49767"	"Q-GY"	"ANGB131"	"ANGB13"	"ANGB"	"2013"	2013-04-15	15828	16477	46.2	2013-04-26	4	4	649	1.78	0	11	0	0	"ANGB13"	"PA-Q"	0	"1713-13676"	0	3	2570	0	0.744557600659899	-500.460436137072	0	-3253.26105919003	0.834561021445336	-518.669158878504
"12"	"ANGB13"	"1713-49769"	"Q-GP"	"ANGB131"	"ANGB13"	"ANGB"	"2013"	2013-04-15	15828	16903	40.4	2013-04-26	4	4	1075	2.94	0	11	0	0	"ANGB13"	"PA-Q"	0	"1713-13676"	0	3	2570	0	0.744557600659899	-500.460436137072	0	-3253.26105919003	0.834561021445336	-518.669158878504
"13"	"ANGB15"	"1713-89777"	"YQH-"	"ANGB151"	"ANGB15"	"ANGB"	"2015"	2015-04-07	16549	16903	45.7	2015-04-18	3	3	354	0.97	0	11	0	0	"ANGB15"	"PA-Q"	2	"1713-49026"	2	4	NA	NA	NA	NA	NA	NA	NA	NA
"14"	"ANGB15"	"1713-89776"	"RQL-"	"ANGB151"	"ANGB15"	"ANGB"	"2015"	2015-04-07	16549	16785	47.1	2015-04-18	3	3	236	0.65	1	11	0	0	"ANGB15"	"PA-Q"	2	"1713-49026"	2	4	NA	NA	NA	NA	NA	NA	NA	NA
"15"	"ANGL04"	"1573-66546"	"CR-W"	"ANGL042"	"ANGL04"	"ANGL"	"2004"	2004-05-17	12571	13250	48	2004-05-28	4	3	679	1.86	0	11	1	1	"ANGL04"	"AC-W"	0	"1513-50980"	0	3	2286	3394	0.66227964012005	-784.460436137072	0.807196181146158	140.738940809969	0.549749272142784	-2338.6691588785
"16"	"ANGL04"	"1573-66545"	"CW-W"	"ANGL042"	"ANGL04"	"ANGL"	"2004"	2004-05-17	12571	12614	47.6	2004-05-28	4	3	43	0.12	1	11	1	1	"ANGL04"	"AC-W"	0	"1513-50980"	0	3	2286	3394	0.66227964012005	-784.460436137072	0.807196181146158	140.738940809969	0.549749272142784	-2338.6691588785
"17"	"ANGL05"	"1573-97942"	"ACH-"	"ANGL051"	"ANGL05"	"ANGL"	"2005"	2005-04-15	12905	14071	53.7	2005-04-26	4	3	1166	3.19	0	11	1	2	"ANGL05"	"AC-W"	1	"1513-50980"	1	4	2237	3625	0.64808379481564	-833.460436137072	0.862134990175257	371.738940809969	0.585741965735963	-2108.6691588785
"18"	"ANGL05"	"1573-97941"	"FCH-"	"ANGL051"	"ANGL05"	"ANGL"	"2005"	2005-04-15	12905	14046	44.6	2005-04-26	4	3	1141	3.12	0	11	1	2	"ANGL05"	"AC-W"	1	"1513-50980"	1	4	2237	3625	0.64808379481564	-833.460436137072	0.862134990175257	371.738940809969	0.585741965735963	-2108.6691588785
"19"	"ANGL05"	"1573-97940"	"LCH-"	"ANGL051"	"ANGL05"	"ANGL"	"2005"	2005-04-15	12905	13250	39.4	2005-04-26	4	3	345	0.94	1	11	1	2	"ANGL05"	"AC-W"	1	"1513-50980"	1	4	2237	3625	0.64808379481564	-833.460436137072	0.862134990175257	371.738940809969	0.585741965735963	-2108.6691588785
"20"	"ANGL06"	"1603-17293"	"-ACn"	"ANGL062"	"ANGL06"	"ANGL"	"2006"	2006-05-03	13288	13289	40.5	2006-05-14	4	4	1	0	1	11	1	4	"ANGL06"	"AC-W"	2	"1513-50980"	2	5	2442	3833	0.707474576191235	-628.460436137072	0.911603701335658	579.738940809969	0.618291879941969	-1900.6691588785
"21"	"ANGL06"	"1603-17292"	"-FCO"	"ANGL062"	"ANGL06"	"ANGL"	"2006"	2006-05-03	13288	14046	46.5	2006-05-14	4	4	758	2.08	0	11	1	4	"ANGL06"	"AC-W"	2	"1513-50980"	2	5	2442	3833	0.707474576191235	-628.460436137072	0.911603701335658	579.738940809969	0.618291879941969	-1900.6691588785
"22"	"ANGL06"	"1603-17290"	"-OCn"	"ANGL062"	"ANGL06"	"ANGL"	"2006"	2006-05-03	13288	13313	47.4	2006-05-14	4	4	25	0.07	1	11	1	4	"ANGL06"	"AC-W"	2	"1513-50980"	2	5	2442	3833	0.707474576191235	-628.460436137072	0.911603701335658	579.738940809969	0.618291879941969	-1900.6691588785
"23"	"ANGL06"	"1603-17291"	"-LCn"	"ANGL062"	"ANGL06"	"ANGL"	"2006"	2006-05-03	13288	13333	43.6	2006-05-14	4	4	45	0.12	1	11	1	4	"ANGL06"	"AC-W"	2	"1513-50980"	2	5	2442	3833	0.707474576191235	-628.460436137072	0.911603701335658	579.738940809969	0.618291879941969	-1900.6691588785
"24"	"ANGL07"	"1603-51114"	"CHn-"	"ANGL071"	"ANGL07"	"ANGL"	"2007"	2007-04-24	13646	13700	40	2007-05-05	2	2	54	0.15	1	11	1	3	"ANGL07"	"AC-W"	3	"1513-50980"	3	6	1650	2881	0.478023362291375	-1420.46043613707	0.685189215639977	-372.261059190031	0.466809586906326	-2868.6691588785
